PartNumber,PartDescription,PartDetails,UOM,UPC,PartTypeID,Active,PartTaxCode,StdCost,Tracks-Lot Number,Next Value-Lot Number,Tracks-Revision Level,Next Value-Revision Level,Tracks-Expiration Date,Next Value-Expiration Date,Tracks-Serial Number,Next Value-Serial Number,AssetAccount,COGSAccount,AdjustmentAccount,ScrapAccount,VarianceAccount,ABCCode,Weight,WeightUOM,Width,Height,Len,SizeUOM,ConsumptionRate,PartURL,PartRevision,ProductNumber,ProductDescription,ProductDetails,Price,ProductSKU,ProductUPC,ProductActive,ProductTaxCode,ProductSOItemTypeID,IncomeAccount,ProductWeight,ProductWeightUOM,ProductWidth,ProductHeight,ProductLen,ProductSizeUOM,Vendor,DefaultVendor,VendorPartNumber,Cost,VendorUOM
Freight charge,Delivery to store,,ea,,60,TRUE,GSTEX,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,,,,,,,0,,,Freight charge,Freight charge,,0,,,TRUE,GST,60,,,,,,,,,FALSE,,0,
Stone Cutting,Stone cutting,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,Stone Cutting,Stone cutting,,0,,,TRUE,GST,10,,0,kg,0,0,0,mm,,FALSE,,0,
ADBRI PAVERS:Boulevard Charcoal,Boulevard 600*300*40 Charcoal,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Boulevard Charcoal,Boulevard 600*300*40 Charcoal,,11.045,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,PBV40CH,7.79,ea
ADBRI PAVERS:Boulevard Oatmeal,Boulevard 600*300*40 Oatmeal,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Boulevard Oatmeal,Boulevard 600*300*40 Oatmeal,,11.045,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,PBV40OA,7.79,ea
ADBRI PAVERS:Euro Classic 4*4*40 Athens,Euro Classic 400*400*40 Athens,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic 4*4*40 Athens,Euro Classic 400*400*40 Athens,,12.427,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECS404AT,8.81,ea
ADBRI PAVERS:Euro Classic 4*4*40 Cyprus,Euro Classic 400*400*40 Cyprus,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic 4*4*40 Cyprus,Euro Classic 400*400*40 Cyprus,,12.427,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECS404CY,8.81,ea
ADBRI PAVERS:Euro Classic 4*4*40 Prague,Euro Classic 400*400*40 Prague,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic 4*4*40 Prague,Euro Classic 400*400*40 Prague,,12.427,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECS404PR,8.81,ea
ADBRI PAVERS:Euro Classic 4*4*40 Vienna,Euro Classic 400*400*40 Vienna,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic 4*4*40 Vienna,Euro Classic 400*400*40 Vienna,,12.427,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECS404VI,8.81,ea
ADBRI PAVERS:Euro Classic 6*4*40 Cyprus,Euro Classic 600*400*40 Cyprus,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic 6*4*40 Cyprus,Euro Classic 600*400*40 Cyprus,,21.936,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECS644CY,15.57,ea
ADBRI PAVERS:Euro Classic 6*4*40 Prague,Euro Classic 600*400*40 Prague,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic 6*4*40 Prague,Euro Classic 600*400*40 Prague,,21.936,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECS644PR,15.57,ea
ADBRI PAVERS:Euro Classic SN Athens,Euro Classic Sharknose 400*400*40 Athens,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic SN Athens,Euro Classic Sharknose 400*400*40 Athens,,21.19,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECT464AT,14.38,ea
ADBRI PAVERS:Euro Classic SN Cyprus,Euro Classic Sharknose 400*400*40 Cyprus,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic SN Cyprus,Euro Classic Sharknose 400*400*40 Cyprus,,21.19,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECT464CY,14.38,ea
ADBRI PAVERS:Euro Classic SN Prague,Euro Classic Sharknose 400*400*40 Prague,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic SN Prague,Euro Classic Sharknose 400*400*40 Prague,,21.19,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECT464PR,14.38,ea
ADBRI PAVERS:Euro Classic SN Vienna,Euro Classic Sharknose 400*400*40 Vienna,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Classic SN Vienna,Euro Classic Sharknose 400*400*40 Vienna,,21.19,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ECT464VI,14.38,ea
ADBRI PAVERS:Euro Stone 4*4*40 Prague,Euro Stone 400*400*40 Prague,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Stone 4*4*40 Prague,Euro Stone 400*400*40 Prague,,14.972,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ESN404PR,10.63,ea
ADBRI PAVERS:Euro Stone 4*4*40 Riverina,Euro Stone 400*400*40 Riverina,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Stone 4*4*40 Riverina,Euro Stone 400*400*40 Riverina,,14.972,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ESN404RV,10.63,ea
ADBRI PAVERS:Euro Stone 4*4*40 Zurich,Euro Stone 400*400*40 Zurich,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Stone 4*4*40 Zurich,Euro Stone 400*400*40 Zurich,,14.972,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ESN404ZU,10.63,ea
ADBRI PAVERS:Euro Stone 6*4*40 Prague,Euro Stone 600*400*40 Prague,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Stone 6*4*40 Prague,Euro Stone 600*400*40 Prague,,24.9545,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ESN444PR,17.73,ea
ADBRI PAVERS:Euro Stone 6*4*40 Zurich,Euro Stone 600*400*40 Zurich,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Stone 6*4*40 Zurich,Euro Stone 600*400*40 Zurich,,24.9545,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ESN444ZU,17.73,ea
ADBRI PAVERS:Euro Stone SN Prague,Euro Stone Sharknose 400*400*40 Prague,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Stone SN Prague,Euro Stone Sharknose 400*400*40 Prague,,23.7545,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ESC464PR,16.19,ea
ADBRI PAVERS:Euro Stone SN Riverina,Euro Stone Sharknose 400*400*40 Riverina,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Stone SN Riverina,Euro Stone Sharknose 400*400*40 Riverina,,23.7545,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ESC464RV,16.19,ea
ADBRI PAVERS:Euro Stone SN Zurich,Euro Stone Sharknose 400*400*40 Zurich,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Euro Stone SN Zurich,Euro Stone Sharknose 400*400*40 Zurich,,23.7545,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,ESC464ZU,16.19,ea
ADBRI PAVERS:Haven Brick Charcoal,Haven Brick 200*100*50 Charcoal,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Haven Brick Charcoal,Haven Brick 200*100*50 Charcoal,,1,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,PHB50CH,0.71,ea
ADBRI PAVERS:Haven Brick Oatmeal,Haven Brick 200*100*50 Oatmeal,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Haven Brick Oatmeal,Haven Brick 200*100*50 Oatmeal,,1,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,PHB50OA,0.71,ea
ADBRI PAVERS:Haven Brick Sunstone,Haven Brick 200*100*50 Sunstone,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Haven Brick Sunstone,Haven Brick 200*100*50 Sunstone,,1,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,PHB50SU,0.71,ea
ADBRI PAVERS:Haven Pave Charcoal,Haven Pave 200*200*50 Charcoal,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Haven Pave Charcoal,Haven Pave 200*200*50 Charcoal,,2.027,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,PHP50CH,1.43,ea
ADBRI PAVERS:Haven Pave Oatmeal,Haven Pave 200*200*50 Oatmeal,,ea,,10,TRUE,,$0.00,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,N,0,kg,0,0,0,mm,0,,,ADBRI PAVERS:Haven Pave Oatmeal,Haven Pave 200*200*50 Oatmeal,,2.027,,,TRUE,GST,10,,0,kg,0,0,0,mm,Adbri Masonry,TRUE,PHP50OA,1.43,ea
